REF_DATE,GEO,DGUID,Employment characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024,"Calgary, Alberta",2021S05004830,Total employed,Estimate,Persons in thousands,428,units,0,v1642747640,64.1.1,1009.3,,,,1
2024,"Calgary, Alberta",2021S05004830,Goods-producing sector,Estimate,Persons in thousands,428,units,0,v1642747641,64.2.1,218.1,,,,1
2024,"Calgary, Alberta",2021S05004830,"Agriculture [111-112, 1100, 1151-1152]",Estimate,Persons in thousands,428,units,0,v1642747642,64.3.1,4.1,,,,1
2024,"Calgary, Alberta",2021S05004830,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Estimate,Persons in thousands,428,units,0,v1642747643,64.4.1,52.5,,,,1
2024,"Calgary, Alberta",2021S05004830,Utilities [22],Estimate,Persons in thousands,428,units,0,v1642747644,64.5.1,9.9,,,,1
2024,"Calgary, Alberta",2021S05004830,Construction [23],Estimate,Persons in thousands,428,units,0,v1642747645,64.6.1,94.6,,,,1
2024,"Calgary, Alberta",2021S05004830,Manufacturing [31-33],Estimate,Persons in thousands,428,units,0,v1642747646,64.7.1,57,,,,1
2024,"Calgary, Alberta",2021S05004830,Services-producing sector,Estimate,Persons in thousands,428,units,0,v1642747647,64.8.1,791.2,,,,1
2024,"Calgary, Alberta",2021S05004830,"Wholesale and retail trade [41, 44-45]",Estimate,Persons in thousands,428,units,0,v1642747648,64.9.1,131.6,,,,1
2024,"Calgary, Alberta",2021S05004830,Transportation and warehousing [48-49],Estimate,Persons in thousands,428,units,0,v1642747649,64.10.1,65.3,,,,1
2024,"Calgary, Alberta",2021S05004830,"Finance, insurance, real estate, rental and leasing [52-53]",Estimate,Persons in thousands,428,units,0,v1642747650,64.11.1,62.9,,,,1
2024,"Calgary, Alberta",2021S05004830,"Professional, scientific and technical services [54]",Estimate,Persons in thousands,428,units,0,v1642747651,64.12.1,137.3,,,,1
2024,"Calgary, Alberta",2021S05004830,"Business, building and other support services [55-56]",Estimate,Persons in thousands,428,units,0,v1642747652,64.13.1,35.1,,,,1
2024,"Calgary, Alberta",2021S05004830,Educational services [61],Estimate,Persons in thousands,428,units,0,v1642747653,64.14.1,61.3,,,,1
2024,"Calgary, Alberta",2021S05004830,Health care and social assistance [62],Estimate,Persons in thousands,428,units,0,v1642747654,64.15.1,123.2,,,,1
2024,"Calgary, Alberta",2021S05004830,"Information, culture and recreation [51, 71]",Estimate,Persons in thousands,428,units,0,v1642747655,64.16.1,41.9,,,,1
2024,"Calgary, Alberta",2021S05004830,Accommodation and food services [72],Estimate,Persons in thousands,428,units,0,v1642747656,64.17.1,60.2,,,,1
2024,"Calgary, Alberta",2021S05004830,Other services (except public administration) [81],Estimate,Persons in thousands,428,units,0,v1642747657,64.18.1,40.8,,,,1
2024,"Calgary, Alberta",2021S05004830,Public administration [91],Estimate,Persons in thousands,428,units,0,v1642747658,64.19.1,31.7,,,,1
